         839067144 function calls (636176786 primitive calls) in 320.454 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 25665574   23.381    0.000   23.381    0.000 base.py:67(geometry_type_name)
 25427110   20.236    0.000  181.938    0.000 base.py:689(contains)
   114129    0.529    0.000    1.404    0.000 base.py:73(geom_factory)
    12386    0.027    0.000    0.056    0.000 cast.py:1207(construct_1d_object_array_from_listlike)
     4120    0.002    0.000    0.008    0.000 cast.py:1232(construct_1d_ndarray_preserving_na)
    12260    0.025    0.000    0.241    0.000 cast.py:44(maybe_convert_platform)
    16380    0.043    0.000    0.272    0.000 cast.py:867(maybe_infer_to_datetimelike)
    10760    0.009    0.000    0.085    0.000 cast.py:908(try_datetime)
    16380    0.049    0.000    0.361    0.000 cast.py:971(maybe_cast_to_datetime)
      126    0.000    0.000    0.001    0.000 common.py:1043(is_datetime64_any_dtype)
    20709    0.006    0.000    0.037    0.000 common.py:122(is_sparse)
      126    0.000    0.000    0.002    0.000 common.py:123(_default_index)
      126    0.000    0.000    0.000    0.000 common.py:1527(is_float_dtype)
      126    0.000    0.000    0.000    0.000 common.py:154(_all_none)
      126    0.000    0.000    0.001    0.000 common.py:1578(is_bool_dtype)
     4120    0.003    0.000    0.053    0.000 common.py:1629(is_extension_type)
     1583    0.002    0.000    0.007    0.000 common.py:1688(is_extension_array_dtype)
    17136    0.023    0.000    0.037    0.000 common.py:1835(_get_dtype_type)
      126    0.000    0.000    0.000    0.000 common.py:191(_dict_keys_to_ordered_list)
     5703    0.003    0.000    0.020    0.000 common.py:195(is_categorical)
    16557    0.008    0.000    0.053    0.000 common.py:227(is_datetimetz)
      252    0.001    0.000    0.004    0.000 common.py:301(_asarray_tuplesafe)
      126    0.000    0.000    0.001    0.000 common.py:332(is_datetime64_dtype)
    16683    0.006    0.000    0.033    0.000 common.py:369(is_datetime64tz_dtype)
      126    0.000    0.000    0.000    0.000 common.py:407(is_timedelta64_dtype)
      504    0.000    0.000    0.002    0.000 common.py:477(is_interval_dtype)
     6207    0.003    0.000    0.013    0.000 common.py:513(is_categorical_dtype)
      126    0.000    0.000    0.000    0.000 common.py:858(is_signed_integer_dtype)
    20500    0.011    0.000    0.049    0.000 common.py:89(is_object_dtype)
      126    0.000    0.000    0.000    0.000 common.py:907(is_unsigned_integer_dtype)
    62208    0.020    0.000    0.020    0.000 coords.py:41(__init__)
   145152    0.226    0.000    0.243    0.000 coords.py:44(_update)
    72576    0.167    0.000    0.287    0.000 coords.py:48(__len__)
     4246    0.002    0.000    0.002    0.000 dtypes.py:266(construct_from_string)
     4120    0.004    0.000    0.008    0.000 dtypes.py:401(__new__)
     4120    0.004    0.000    0.012    0.000 dtypes.py:459(construct_from_string)
      126    0.000    0.000    0.001    0.000 dtypes.py:675(construct_from_string)
      252    0.000    0.000    0.002    0.000 dtypes.py:707(is_dtype)
      126    0.001    0.000    1.089    0.009 frame.py:334(__init__)
      126    0.008    0.000    1.088    0.009 frame.py:426(_init_dict)
      126    0.001    0.000    0.001    0.000 frame.py:457(<listcomp>)
      126    0.001    0.000    1.058    0.008 frame.py:7349(_arrays_to_mgr)
      126    0.018    0.000    0.051    0.000 frame.py:7367(extract_index)
      126    0.022    0.000    0.808    0.006 frame.py:7644(_homogenize)
      126    0.000    0.000    0.000    0.000 generic.py:124(__init__)
   132825    0.036    0.000    0.051    0.000 generic.py:7(_check)
 25821175    3.687    0.000    3.687    0.000 geos.py:545(errcheck_predicate)
    20736    3.573    0.000    3.573    0.000 geos.py:802(parallel_offset)
 25862647    4.583    0.000    4.583    0.000 impl.py:56(__getitem__)
      126    0.000    0.000    0.000    0.000 inference.py:119(is_iterator)
    32886    0.014    0.000    0.053    0.000 inference.py:251(is_list_like)
      209    0.001    0.000    0.006    0.000 internals.py:116(__init__)
      209    0.000    0.000    0.000    0.000 internals.py:127(_check_ndim)
       83    0.000    0.000    0.002    0.000 internals.py:2298(__init__)
      627    0.000    0.000    0.000    0.000 internals.py:233(mgr_locs)
      209    0.001    0.000    0.004    0.000 internals.py:237(mgr_locs)
       94    0.000    0.000    0.003    0.000 internals.py:2632(__init__)
       94    0.000    0.000    0.000    0.000 internals.py:2637(_maybe_coerce_values)
    16589    0.025    0.000    0.098    0.000 internals.py:3148(get_block_type)
      209    0.001    0.000    0.009    0.000 internals.py:3191(make_block)
      126    0.001    0.000    0.013    0.000 internals.py:3265(__init__)
      126    0.000    0.000    0.000    0.000 internals.py:3266(<listcomp>)
      378    0.001    0.000    0.002    0.000 internals.py:3307(shape)
     1134    0.000    0.000    0.001    0.000 internals.py:3309(<genexpr>)
      209    0.000    0.000    0.000    0.000 internals.py:3311(ndim)
      126    0.002    0.000    0.006    0.000 internals.py:3363(_rebuild_blknos_and_blklocs)
      126    0.000    0.000    0.000    0.000 internals.py:3384(_get_items)
      209    0.000    0.000    0.000    0.000 internals.py:348(shape)
      126    0.001    0.000    0.002    0.000 internals.py:3488(_verify_integrity)
      335    0.000    0.000    0.000    0.000 internals.py:3490(<genexpr>)
      209    0.000    0.000    0.000    0.000 internals.py:352(dtype)
      209    0.000    0.000    0.004    0.000 internals.py:356(ftype)
      126    0.000    0.000    0.000    0.000 internals.py:3776(is_consolidated)
