         1396267159 function calls (991483016 primitive calls) in 845.893 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4536    0.002    0.000    0.011    0.000 cast.py:1232(construct_1d_ndarray_preserving_na)
    11844    0.026    0.000    0.255    0.000 cast.py:44(maybe_convert_platform)
    16380    0.047    0.000    0.302    0.000 cast.py:867(maybe_infer_to_datetimelike)
    10768    0.010    0.000    0.095    0.000 cast.py:908(try_datetime)
    16380    0.054    0.000    0.400    0.000 cast.py:971(maybe_cast_to_datetime)
      126    0.000    0.000    0.001    0.000 common.py:1043(is_datetime64_any_dtype)
    21120    0.007    0.000    0.041    0.000 common.py:122(is_sparse)
      126    0.000    0.000    0.002    0.000 common.py:123(_default_index)
      126    0.000    0.000    0.000    0.000 common.py:1527(is_float_dtype)
      126    0.000    0.000    0.000    0.000 common.py:154(_all_none)
      126    0.000    0.000    0.001    0.000 common.py:1578(is_bool_dtype)
     4536    0.004    0.000    0.064    0.000 common.py:1629(is_extension_type)
     1154    0.001    0.000    0.005    0.000 common.py:1688(is_extension_array_dtype)
    17136    0.024    0.000    0.040    0.000 common.py:1835(_get_dtype_type)
      126    0.000    0.000    0.000    0.000 common.py:191(_dict_keys_to_ordered_list)
     5690    0.003    0.000    0.023    0.000 common.py:195(is_categorical)
    16549    0.008    0.000    0.060    0.000 common.py:227(is_datetimetz)
      252    0.001    0.000    0.005    0.000 common.py:301(_asarray_tuplesafe)
      126    0.000    0.000    0.001    0.000 common.py:332(is_datetime64_dtype)
    16675    0.007    0.000    0.039    0.000 common.py:369(is_datetime64tz_dtype)
      126    0.000    0.000    0.000    0.000 common.py:407(is_timedelta64_dtype)
      504    0.000    0.000    0.002    0.000 common.py:477(is_interval_dtype)
     6194    0.003    0.000    0.015    0.000 common.py:513(is_categorical_dtype)
      126    0.000    0.000    0.000    0.000 common.py:858(is_signed_integer_dtype)
    20916    0.012    0.000    0.053    0.000 common.py:89(is_object_dtype)
      126    0.000    0.000    0.000    0.000 common.py:907(is_unsigned_integer_dtype)
   124416    0.048    0.000    0.048    0.000 coords.py:41(__init__)
   290304    0.513    0.000    0.550    0.000 coords.py:44(_update)
   145152    0.370    0.000    0.641    0.000 coords.py:48(__len__)
     4662    0.003    0.000    0.003    0.000 dtypes.py:266(construct_from_string)
     4536    0.005    0.000    0.010    0.000 dtypes.py:401(__new__)
     4536    0.005    0.000    0.015    0.000 dtypes.py:459(construct_from_string)
      126    0.000    0.000    0.001    0.000 dtypes.py:675(construct_from_string)
      252    0.001    0.000    0.002    0.000 dtypes.py:707(is_dtype)
      126    0.001    0.000    1.197    0.009 frame.py:334(__init__)
