         1546132249 function calls (1546130498 primitive calls) in 1236.332 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8500    0.004    0.000    0.020    0.000 cast.py:1232(construct_1d_ndarray_preserving_na)
    23714    0.054    0.000    0.521    0.000 cast.py:44(maybe_convert_platform)
    32214    0.098    0.000    0.604    0.000 cast.py:867(maybe_infer_to_datetimelike)
    21584    0.020    0.000    0.190    0.000 cast.py:908(try_datetime)
    32214    0.109    0.000    0.801    0.000 cast.py:971(maybe_cast_to_datetime)
      252    0.000    0.000    0.002    0.000 common.py:1043(is_datetime64_any_dtype)
    41118    0.013    0.000    0.078    0.000 common.py:122(is_sparse)
      252    0.001    0.000    0.005    0.000 common.py:123(_default_index)
      252    0.000    0.000    0.000    0.000 common.py:1527(is_float_dtype)
      252    0.000    0.000    0.000    0.000 common.py:154(_all_none)
      252    0.000    0.000    0.001    0.000 common.py:1578(is_bool_dtype)
     8500    0.008    0.000    0.120    0.000 common.py:1629(is_extension_type)
     2282    0.003    0.000    0.010    0.000 common.py:1688(is_extension_array_dtype)
    33726    0.048    0.000    0.079    0.000 common.py:1835(_get_dtype_type)
      252    0.001    0.000    0.001    0.000 common.py:191(_dict_keys_to_ordered_list)
    10782    0.006    0.000    0.044    0.000 common.py:195(is_categorical)
    32551    0.016    0.000    0.115    0.000 common.py:227(is_datetimetz)
      504    0.002    0.000    0.009    0.000 common.py:301(_asarray_tuplesafe)
      252    0.000    0.000    0.001    0.000 common.py:332(is_datetime64_dtype)
    32803    0.014    0.000    0.073    0.000 common.py:369(is_datetime64tz_dtype)
      252    0.000    0.000    0.001    0.000 common.py:407(is_timedelta64_dtype)
     1008    0.001    0.000    0.004    0.000 common.py:477(is_interval_dtype)
    11790    0.005    0.000    0.029    0.000 common.py:513(is_categorical_dtype)
      252    0.000    0.000    0.000    0.000 common.py:858(is_signed_integer_dtype)
    40714    0.024    0.000    0.105    0.000 common.py:89(is_object_dtype)
      252    0.000    0.000    0.000    0.000 common.py:907(is_unsigned_integer_dtype)
   122310    0.043    0.000    0.043    0.000 coords.py:41(__init__)
   285390    0.497    0.000    0.532    0.000 coords.py:44(_update)
   142695    0.361    0.000    0.624    0.000 coords.py:48(__len__)
     8752    0.006    0.000    0.006    0.000 dtypes.py:266(construct_from_string)
     8500    0.010    0.000    0.018    0.000 dtypes.py:401(__new__)
     8500    0.009    0.000    0.027    0.000 dtypes.py:459(construct_from_string)
      252    0.000    0.000    0.001    0.000 dtypes.py:675(construct_from_string)
      504    0.001    0.000    0.003    0.000 dtypes.py:707(is_dtype)
      252    0.002    0.000    2.374    0.009 frame.py:334(__init__)
      252    0.018    0.000    2.371    0.009 frame.py:426(_init_dict)
      252    0.002    0.000    0.002    0.000 frame.py:457(<listcomp>)
      252    0.001    0.000    2.309    0.009 frame.py:7349(_arrays_to_mgr)
      252    0.037    0.000    0.107    0.000 frame.py:7367(extract_index)
      252    0.047    0.000    1.778    0.007 frame.py:7644(_homogenize)
      252    0.001    0.000    0.001    0.000 generic.py:124(__init__)
   259897    0.079    0.000    0.111    0.000 generic.py:7(_check)
 50659206    8.231    0.000    8.231    0.000 geos.py:545(errcheck_predicate)
    40770    7.302    0.000    7.302    0.000 geos.py:802(parallel_offset)
 50740746   11.632    0.000   11.632    0.000 impl.py:56(__getitem__)
      252    0.000    0.000    0.000    0.000 inference.py:119(is_iterator)
    64680    0.032    0.000    0.115    0.000 inference.py:251(is_list_like)
      404    0.001    0.000    0.012    0.000 internals.py:116(__init__)
